code;bloc_code;texte_fr;guidance_fr;answer_type;options;allow_range;poids;scoring;criticality;expected_source;secteurs;services_cibles;niveaux;effectif_min;effectif_max;profils;geo
Q-B8-001;bloc_8;Existe-t-il une feuille de route IA écrite, avec des jalons, des livrables et un responsable par étape ?;Demander le document et sa date. Vérifier que chaque jalon porte une échéance ET une fonction responsable — un plan sans fonction responsable n'est pas exécutable, quelle que soit sa précision par ailleurs. Confronter la feuille de route au dernier point d'avancement réellement tenu. 1 = aucune feuille de route écrite, ou une liste d'intentions sans date · 3 = feuille de route écrite et datée mais sans responsable par étape, ou sans point d'avancement depuis plus de 12 mois · 5 = jalons datés, livrables identifiés, un responsable nommé par étape, et un point d'avancement daté de moins de 6 mois — Source : ISO 42001 cl. 6.2;scale_1_5;;faux;2;{"map":"identity"};important;document;;;;;;dirigeant|dsi;tous
Q-B8-002;bloc_8;Qu'est-ce qui est mesuré pour dire que la démarche IA avance, et quand a-t-on vérifié qu'on mesurait la bonne chose ?;Les deux moitiés comptent. Demander les indicateurs et leurs cibles, puis la dernière fois qu'un indicateur a été retiré ou remplacé parce qu'il ne disait plus rien. Un tableau de bord jamais remis en cause finit par mesurer ce qui est facile à mesurer. 1 = aucun indicateur de suivi · 3 = des indicateurs et des cibles existent mais n'ont jamais été réexaminés depuis leur définition · 5 = indicateurs et cibles suivis à échéance fixe, et au moins un a été modifié ou retiré dans les 24 derniers mois avec le motif écrit — Source : ISO 42001 cl. 9.1 · NIST AI RMF MEASURE 1.1 · NIST AI RMF MEASURE 1.2;scale_1_5;;faux;2;{"map":"identity"};important;document;;;;;;dirigeant|dsi;tous
Q-B8-003;bloc_8;Avant de mettre en service un système d'IA touchant des personnes, qu'a-t-on écrit de ses effets sur elles ?;Question cotée de l'évaluation d'impact. Le relevé du bloc 3 a établi si une analyse d'impact relative à la protection des données était due au titre de l'art. 35 : s'y reporter AVANT de coter. L'AIPD est exigible AUJOURD'HUI dès que le traitement est susceptible d'engendrer un risque élevé — ne pas la confondre avec l'analyse d'impact sur les droits fondamentaux de l'art. 27 de l'AI Act, reportée au 02/12/2027, qui pourra s'appuyer sur elle au titre de l'art. 27(4). Demander le document, sa date, l'avis du délégué à la protection des données s'il en existe un, et ce qui a été modifié à sa suite. 1 = aucune évaluation, et le fait qu'une AIPD puisse être due n'a jamais été examiné · 3 = l'examen a eu lieu ou l'AIPD est identifiée comme due, mais rien n'est écrit, ou l'écrit est postérieur à la mise en service · 5 = évaluation écrite et datée avant la mise en service, couvrant les effets sur les personnes, et au moins un réglage du système modifié à sa suite — Source : RGPD art. 35 · RGPD art. 36 · ISO 42001 A.5.2 · ISO 42001 A.5.4;scale_1_5;;faux;3;{"map":"identity","red_flag":{"below":2}};bloquant;document;;;;;;dsi|dirigeant;tous
Q-B8-004;bloc_8;Quand un écart est constaté sur un usage d'IA, qu'est-ce qui garantit qu'il est corrigé et non seulement signalé ?;Prendre le dernier écart constaté — audit, incident, plainte, contrôle interne — et suivre son traitement jusqu'à la clôture. Chercher la date de clôture et la vérification d'efficacité, pas seulement l'action décidée : un écart clos sans vérification est un écart qui se rouvrira. 1 = aucun suivi, l'écart constaté se règle ou s'oublie · 3 = les écarts sont enregistrés et des actions sont décidées mais aucune clôture n'est vérifiée · 5 = au moins un écart des 12 derniers mois est tracé de son constat à sa clôture, avec la vérification que la correction a tenu — Source : ISO 42001 cl. 10.2;scale_1_5;;faux;2;{"map":"identity"};important;demonstration;;;;;;dsi|dirigeant;tous
Q-B8-005;bloc_8;À quelle échéance la direction réexamine-t-elle l'ensemble du dispositif IA, et qu'a produit le dernier réexamen ?;Le discriminant est la décision sortie du réexamen, jamais la tenue de la réunion. Vérifier que l'échéance est fixée à l'avance et non déclenchée par un incident. Ne pas recoter ici l'instance de décision relevée au bloc 1 : la revue de direction porte sur le dispositif dans son ensemble, pas sur un engagement particulier. 1 = aucun réexamen d'ensemble n'a jamais eu lieu · 3 = un réexamen a eu lieu mais sans échéance fixée à l'avance, ou sans décision consignée · 5 = échéance fixée à l'avance, dernier réexamen daté de moins de 12 mois, et au moins une décision consignée en est sortie — Source : ISO 42001 cl. 9.3 · NIST AI RMF GOVERN 1.5;scale_1_5;;faux;2;{"map":"identity"};important;document;;;;;;dirigeant;tous
Q-B8-006;bloc_8;Quelles règles s'appliquent avant de faire entrer un nouveau fournisseur d'IA dans l'entreprise ?;Cette question porte sur la règle générale, en amont de la signature. Les prestataires déjà en place sont relevés au bloc 3, la clause de réutilisation des données y est cotée, et la vérification des composants intégrés se cote au bloc 4 : ne rien recoter ici, sous peine de poser quatre fois la même question au même interlocuteur. Chercher ce qui est exigé avant signature et quelle fonction doit le vérifier — Source : NIST AI RMF GOVERN 6.1 · ISO 42001 A.10.3;single_choice;[{"code":"aucune","label":"Aucune règle, chaque service souscrit ce qu'il veut","score":0},{"code":"achat_general","label":"Procédure d'achat générale ne prévoyant rien de propre à l'IA","score":1},{"code":"regles_sans_controle","label":"Exigences propres à l'IA écrites mais aucune vérification avant signature","score":3},{"code":"regles_appliquees","label":"Exigences écrites, vérifiées avant signature, et au moins un fournisseur écarté à ce titre","score":5}];faux;2;{"source":"options"};important;document;;;;;;daf|dsi;tous
Q-B8-007;bloc_8;Entre l'éditeur du modèle, l'intégrateur et l'entreprise, qui répond de quoi si le système produit un dommage ?;Faire ouvrir le contrat et chercher la clause. Une répartition que chacun décrit différemment n'existe pas : poser la question à l'informatique et à la direction financière séparément, puis comparer les deux récits. La bascule de rôle au sens de l'AI Act est cotée au bloc 9 — ici on juge l'écrit contractuel. 1 = aucune répartition écrite, chacun suppose que l'autre répond · 3 = le contrat traite la responsabilité en termes généraux, sans distinguer les défaillances propres au système d'IA · 5 = la répartition est écrite système par système, connue des deux fonctions interrogées, et cohérente entre elles — Source : ISO 42001 A.10.2 · AI Act art. 25;scale_1_5;;faux;2;{"map":"identity"};important;document;;;;;;daf|dsi;tous
Q-B8-008;bloc_8;Quand un système d'IA est mis hors service, que deviennent ses données, ses modèles et ses journaux ?;Distinct de l'arrêt d'urgence relevé au bloc 4 : ici on parle du retrait définitif. Prendre un système déjà retiré s'il en existe un, et vérifier ce qu'il en reste chez le fournisseur autant que chez l'entreprise. La récupération des données avant la fermeture d'un compte est le point le plus souvent oublié, et il est irréversible. 1 = aucun plan, un retrait se réglerait dans l'urgence · 3 = un principe existe mais ne couvre ni la restitution des données par le fournisseur ni le sort des journaux · 5 = plan écrit couvrant restitution, suppression et conservation des journaux, et appliqué à au moins un retrait réel — Source : NIST AI RMF GOVERN 1.7 · NIST AI RMF MANAGE 2.4;scale_1_5;;faux;1;{"map":"identity"};important;entretien;;;;;;dsi;tous
Q-B8-009;bloc_8;Comment une remarque venue d'un client ou d'une personne affectée par un système d'IA remonte-t-elle jusqu'à ceux qui décident ?;Distinct du retour interne coté au bloc 5. Chercher le dernier retour externe reçu, son chemin et son effet. Une entreprise qui n'a jamais reçu aucun retour externe n'a le plus souvent aucun chemin pour en recevoir — le noter ainsi plutôt que comme une absence de problème. 1 = aucun chemin identifié pour un retour externe · 3 = les retours arrivent par le service commercial ou le support et n'atteignent pas ceux qui décident · 5 = au moins un retour externe des 12 derniers mois est parvenu au décideur et a produit une modification tracée — Source : NIST AI RMF GOVERN 5.1 · NIST AI RMF GOVERN 5.2;scale_1_5;;faux;1;{"map":"identity"};important;entretien;;;;;;dirigeant|resp_metier;tous
Q-B8-010;bloc_8;L'entreprise a-t-elle désigné un délégué à la protection des données, et a-t-il été associé aux projets d'IA ?;Vérifier d'abord si la désignation est obligatoire au titre de l'art. 37(1) — autorité ou organisme public, suivi régulier et systématique à grande échelle, traitement à grande échelle de données sensibles. Si elle ne l'est pas, une désignation volontaire reste un signal favorable. Le point coté est l'association effective aux projets d'IA : demander le dernier projet sur lequel le délégué a été consulté et à quelle date. Une désignation obligatoire non honorée est un manquement à écrire dans le rapport, quel que soit le score global de la mission — Source : RGPD art. 37 · RGPD art. 38 · RGPD art. 39;single_choice;[{"code":"absent_obligatoire","label":"Désignation obligatoire au titre de l'art. 37(1) mais aucun délégué désigné","score":0},{"code":"absent_facultatif","label":"Désignation non obligatoire et aucun délégué désigné","score":1},{"code":"designe_non_associe","label":"Délégué désigné mais jamais consulté sur un projet d'IA","score":3},{"code":"designe_et_associe","label":"Délégué désigné, déclaré, et consulté sur un projet d'IA daté de moins de 12 mois","score":5}];faux;2;{"source":"options"};important;entretien;;;;;;dirigeant|dsi;tous
