code;bloc_code;texte_fr;guidance_fr;answer_type;options;allow_range;poids;scoring;criticality;expected_source;secteurs;services_cibles;niveaux;effectif_min;effectif_max;profils;geo
Q-B3-002;bloc_3;Pouvez-vous relever, jeu de données par jeu de données, ceux qui alimentent aujourd'hui un outil d'IA ?;Relevé, non coté. Une ligne par jeu de données, avec les colonnes : nom du jeu, origine (produite en interne, achetée, collectée en ligne, transmise par un tiers), propriétaire nommé, sensibilité, présence de données personnelles, date de la dernière mise à jour. Se faire montrer le jeu à l'écran quand c'est possible. Ne rien déduire ici : la cotation se fait dans les questions suivantes. — Source : ISO 42001 A.7.5 · ISO 42001 A.4.3 (à vérifier);table;;faux;0;;informatif;releve;;;;;;dsi|resp_metier;tous
Q-B3-003;bloc_3;Quels prestataires ou services externes reçoivent des données de l'entreprise, et où ces données sont-elles hébergées ?;Relevé, non coté. Une ligne par prestataire, avec les colonnes : nom du prestataire ou du service, données confiées, pays d'hébergement, contrat de sous-traitance signé et sa date, garantie de transfert invoquée hors Union européenne. Inclure les services d'IA grand public utilisés par les équipes, même sans contrat et même gratuits. — Source : RGPD art. 28 · RGPD art. 44 à art. 49;table;;faux;0;;informatif;releve;;;;;;dsi|daf;tous
Q-B3-004;bloc_3;Quelle durée de conservation est définie pour chaque jeu de données personnelles identifié ?;Relevé, non coté. Une ligne par jeu de données, avec les colonnes : nom du jeu, durée de conservation définie, support de la définition (politique écrite, contrat, aucun), propriétaire nommé, date de la dernière purge exécutée. Une case vide est une information en soi et se relève telle quelle, sans la combler oralement. — Source : RGPD art. 5(1)(e);table;;faux;0;;informatif;releve;;;;;;dsi;tous
Q-B3-005;bloc_3;Quel est le niveau de maîtrise de la qualité des données utilisées par les outils d'IA ?;Demander à VOIR la dernière mesure, pas à entendre une appréciation. 1 = aucune mesure de qualité, les erreurs se découvrent en production · 3 = des contrôles existent sur certains jeux mais la dernière mesure date de plus de 12 mois ou n'est pas écrite · 5 = des indicateurs d'exactitude et de fraîcheur sont mesurés à échéance fixe, la dernière mesure est datée de moins de 12 mois et une correction en a découlé — Source : RGPD art. 5(1)(d) · ISO 42001 A.7.4;scale_1_5;;faux;2;{"map":"identity"};important;document;;;;;;dsi|resp_metier;tous
Q-B3-006;bloc_3;Quel est le niveau d'application effective des durées de conservation des données ?;Demander la trace de la DERNIÈRE purge (journal, ticket, capture d'écran), jamais la politique seule. 1 = aucune durée définie, ou aucune suppression jamais réalisée · 3 = des durées sont écrites mais aucune purge n'a été exécutée depuis plus de 12 mois · 5 = les durées sont écrites et la dernière purge exécutée est datée de moins de 12 mois, avec le nom de qui l'a lancée — Source : RGPD art. 5(1)(e) · RGPD art. 17;scale_1_5;;faux;3;{"map":"identity","red_flag":{"below":2}};bloquant;document;;;;;;dsi;tous
Q-B3-007;bloc_3;Comment une demande d'accès ou d'effacement émanant d'une personne est-elle traitée de bout en bout ?;Faire dérouler la DERNIÈRE demande reçue, avec sa date d'arrivée et sa date de réponse. Si aucune demande n'est jamais arrivée, coter 1, sauf s'il existe un circuit écrit et un responsable nommé, auquel cas coter 3. 1 = aucun circuit, personne ne sait qui traite · 3 = un circuit écrit et un responsable nommé existent mais aucune demande n'a été tracée de bout en bout · 5 = la dernière demande est tracée avec sa date d'arrivée et sa date de réponse, dans le délai d'un mois — Source : RGPD art. 15 à art. 21;scale_1_5;;faux;3;{"map":"identity","red_flag":{"below":2}};bloquant;demonstration;;;;;;dsi|drh;tous
Q-B3-008;bloc_3;Quel est le niveau d'information effectivement délivrée aux personnes dont les données alimentent un outil d'IA ?;Demander à voir le support réellement diffusé (mention, note de service, affichage) et sa date de dernière révision. Une intention d'informer ne vaut pas information. 1 = aucune information écrite n'est délivrée · 3 = une mention d'information existe mais sa dernière révision est antérieure à la mise en service des outils d'IA · 5 = la mention a été révisée après la mise en service, la révision est datée et le support diffusé est identifiable — Source : RGPD art. 12 · RGPD art. 13;scale_1_5;;faux;2;{"map":"identity"};important;document;;;;;;dirigeant|drh;tous
Q-B3-009;bloc_3;Quel est le niveau de sélection des données réellement nécessaires avant leur versement dans un outil d'IA ?;Chercher une trace de RETRAIT : un champ écarté, un export réduit, une colonne supprimée, avec sa date et sa raison. 1 = les jeux sont versés tels quels, sans examen · 3 = un examen est déclaré mais aucun retrait concret ne peut être montré · 5 = au moins un retrait de champ ou de jeu est daté des 12 derniers mois et sa raison est écrite — Source : RGPD art. 5(1)(c) · RGPD art. 25(2);scale_1_5;;faux;2;{"map":"identity"};important;document;;;;;;dsi|resp_metier;tous
Q-B3-010;bloc_3;Des données collectées pour une autre finalité ont-elles été versées dans un outil d'IA sans examen écrit de compatibilité ?;Question à polarité inversée : « oui » est le mauvais signal. Faire nommer le dernier jeu versé, puis demander pour quelle finalité il avait été collecté à l'origine. Un examen fait oralement et non écrit se note « oui ». — Source : RGPD art. 5(1)(b) · RGPD art. 6(4);yes_no;;faux;3;{"map":{"oui":0,"non":5},"red_flag":{"values":["oui"]}};bloquant;entretien;;;;;;dsi|resp_metier;tous
Q-B3-011;bloc_3;Que prévoit le contrat des services d'IA utilisés quant à la réutilisation des données saisies pour entraîner les modèles ?;Demander à voir la clause elle-même, la date à laquelle elle a été lue, et le réglage effectif du compte. Une affirmation du type « nos données ne sont pas réutilisées » sans clause ni capture se note comme non vérifiée. — Source : RGPD art. 28(3) · ISO 42001 A.10.3;single_choice;[{"code":"non_verifie","label":"La clause n'a jamais été lue","score":0},{"code":"lue_sans_trace","label":"Clause lue mais sans trace ni vérification du paramétrage","score":3},{"code":"lue_et_verifiee","label":"Clause lue et datée, et paramétrage du service vérifié","score":5}];faux;3;{"source":"options","red_flag":{"values":["non_verifie"]}};bloquant;document;;;;;;dsi|daf;tous
