code;bloc_code;texte_fr;guidance_fr;answer_type;options;allow_range;poids;scoring;criticality;expected_source;secteurs;services_cibles;niveaux;effectif_min;effectif_max;profils;geo
Q-B1-001;bloc_1;Quelle est la fonction qui porte les sujets IA, et quelles décisions a-t-elle tranchées seule au cours des 12 derniers mois ?;Demander le nom de la FONCTION, jamais celui de la personne, puis deux décisions datées qu'elle a tranchées sans remonter d'un cran. Une responsabilité partagée par tout le monde se note 1. 1 = personne n'est identifiable, chaque interlocuteur renvoie à un autre · 3 = une fonction est désignée dans un document mais aucune décision IA ne lui est attribuable sur 12 mois · 5 = fonction désignée avec un mandat écrit, et au moins deux décisions IA tranchées à son niveau et datées dans les 12 derniers mois — Source : ISO 42001 cl. 5.3, ISO 42001 A.3.2, NIST AI RMF GOVERN 2.1;scale_1_5;;faux;3;{"map":"identity","red_flag":{"below":2}};bloquant;entretien;;;;;;dirigeant|dsi;tous
Q-B1-002;bloc_1;Quelle instance décide des engagements IA, qui y siège et quand s'est-elle réunie sur les 12 derniers mois ?;Relevé non coté. Une ligne par réunion réellement tenue : date, instance, fonctions présentes, décision prise. Demander les convocations ou les comptes rendus plutôt que la liste de mémoire. Une instance qui ne s'est jamais réunie se saisit avec zéro ligne, pas en laissant le tableau vide — Source : NIST AI RMF GOVERN 2.3, ISO 42001 cl. 5.1;table;;faux;0;;informatif;releve;;;;;;dirigeant|dsi;tous
Q-B1-003;bloc_1;Sur les 12 derniers mois, quels arbitrages la direction générale a-t-elle rendus en faveur ou en défaveur d'un projet IA ?;Chercher des actes datés — budget accordé ou refusé, projet arrêté, priorité déplacée — et non des déclarations d'intention. Une direction qui n'a rien arbitré n'a pas encore rencontré le sujet. 1 = aucun arbitrage IA identifiable, le sujet n'est jamais remonté à la direction · 3 = la direction s'exprime sur l'IA mais aucun arbitrage n'a coûté un budget ni arrêté un projet · 5 = au moins un arbitrage daté dans les 12 derniers mois, avec un effet vérifiable sur le budget ou le calendrier — Source : ISO 42001 cl. 5.1, NIST AI RMF GOVERN 2.3;scale_1_5;;faux;2;{"map":"identity"};important;entretien;;;;;;dirigeant;tous
Q-B1-004;bloc_1;À quelle date la politique IA en vigueur a-t-elle été approuvée, et par quelle fonction ?;Relevé non coté. Saisir la date d'approbation portée SUR le document, jamais la date du fichier informatique ni celle de la dernière relecture. Noter la fonction du signataire en note de session. Sans document approuvé, laisser la date vide — c'est la question suivante qui porte la cotation — Source : ISO 42001 cl. 5.2, ISO 42001 A.2.2;date;;faux;0;;informatif;document;;;;;;dirigeant|dsi;tous
Q-B1-005;bloc_1;Quand la politique IA a-t-elle été revue pour la dernière fois, et qu'est-ce que cette revue a changé dans le texte ?;Le discriminant est la MODIFICATION produite, pas la tenue de la réunion. Demander à voir deux versions successives et faire montrer l'écart. 1 = aucune revue depuis l'approbation initiale, ou aucune politique · 3 = une revue a eu lieu il y a moins de 24 mois mais le texte est resté identique · 5 = revue de moins de 18 mois ayant produit une modification tracée, déclenchée par un incident, un audit ou un changement réglementaire — Source : ISO 42001 A.2.4, ISO 42001 cl. 9.3;scale_1_5;;faux;2;{"map":"identity"};important;document;;;;;;dirigeant|dsi;tous
Q-B1-006;bloc_1;Comment la politique IA s'articule-t-elle avec la charte informatique, la politique de sécurité et les règles RH en vigueur ?;Faire ouvrir les trois textes côte à côte et chercher une règle qui se contredit — accès aux outils externes, confidentialité, usage personnel des comptes. Une réponse donnée sans qu'aucun document soit ouvert ne dépasse pas le deuxième niveau — Source : ISO 42001 A.2.3;single_choice;[{"code":"contradiction","label":"Contradiction constatée entre au moins deux textes","score":0},{"code":"juxtapose","label":"Textes juxtaposés, aucun ne renvoie à l'autre","score":1},{"code":"renvois","label":"Renvois explicites mais aucune mise à jour croisée depuis plus de 24 mois","score":3},{"code":"revue_croisee","label":"Renvois explicites et une mise à jour croisée datée de moins de 24 mois","score":5}];faux;2;{"source":"options"};important;document;;;;;;dsi|drh;tous
Q-B1-007;bloc_1;En quoi les usages IA déjà engagés servent-ils les objectifs que l'entreprise s'est fixés cette année ?;Faire rattacher chaque usage engagé à un objectif de l'entreprise, puis vérifier le sens inverse : quel objectif a été modifié parce qu'un outil IA était disponible. 1 = les usages ont été engagés par opportunité ou par démarchage, sans lien avec un objectif écrit · 3 = le lien est reconstitué après coup et n'apparaît dans aucun document de décision · 5 = chaque usage engagé est rattaché par écrit à un objectif daté, et au moins un usage a été refusé faute de rattachement — Source : NIST AI RMF MAP 1.3, ISO 42001 cl. 4.1;scale_1_5;;faux;2;{"map":"identity"};important;entretien;;;;;;dirigeant|resp_metier;tous
Q-B1-008;bloc_1;Quels objectifs chiffrés l'entreprise s'est-elle donnés sur l'IA, et qui en rend compte ?;Un objectif sans chiffre, sans date ou sans nom de responsable ne compte pas. Demander le dernier point d'avancement et sa date. 1 = aucun objectif écrit, ou des intentions sans chiffre · 3 = objectifs écrits et chiffrés mais aucun point d'avancement dans les 12 derniers mois · 5 = objectifs chiffrés et datés, un responsable nommé par objectif, et un point d'avancement daté de moins de 6 mois — Source : ISO 42001 cl. 6.2, NIST AI RMF MAP 1.4;scale_1_5;;faux;2;{"map":"identity"};important;document;;;;;;dirigeant|daf;tous
Q-B1-009;bloc_1;Quelles ressources ont été effectivement engagées sur l'IA au cours du dernier exercice clos ?;Se faire montrer la ligne dans le budget de l'exercice CLOS, pas dans le prévisionnel. Un budget voté et non consommé ne dépasse pas le troisième niveau. Rattachement normatif interprétatif, à reprendre avec le texte officiel — Source : ISO 42001 cl. 7.1, ISO 42001 A.4.2 (à vérifier);single_choice;[{"code":"aucune","label":"Aucune ressource dédiée, tout se fait sur du temps pris ailleurs","score":0},{"code":"temps_informel","label":"Du temps interne mais aucune ligne budgétaire","score":1},{"code":"budget_sans_suivi","label":"Une ligne budgétaire ouverte mais non suivie en exécution","score":3},{"code":"budget_suivi","label":"Budget engagé et consommé, suivi et rapproché sur l'exercice","score":5}];faux;2;{"source":"options"};important;document;;;;;;daf|dirigeant;tous
Q-B1-010;bloc_1;Qu'est-ce que l'entreprise s'interdit de faire avec l'IA, et qu'est-ce qu'elle accepte de risquer ?;Chercher une limite écrite ET un cas où elle a été opposée à une demande réelle. Une limite que personne n'a jamais eu à appliquer reste une intention. 1 = aucune limite formulée, la question n'a jamais été posée · 3 = des limites sont énoncées à l'oral ou dans une charte, aucun cas d'application connu · 5 = limites écrites et au moins un usage refusé ou encadré à ce titre dans les 12 derniers mois — Source : NIST AI RMF GOVERN 1.3, NIST AI RMF MAP 1.5, ISO 42001 cl. 6.1;scale_1_5;;faux;2;{"map":"identity"};important;entretien;;;;;;dirigeant|dsi;tous
