code;bloc_code;texte_fr;guidance_fr;answer_type;options;allow_range;poids;scoring;criticality;expected_source;secteurs;services_cibles;niveaux;effectif_min;effectif_max;profils;geo
Q-B5-001;bloc_5;Quelles mesures l'entreprise a-t-elle prises pour que les personnes qui emploient l'IA comprennent ce qu'elles emploient ?;L'article 4 est une obligation de MOYENS applicable depuis le 02/02/2025, réécrite en ce sens par le règlement (UE) 2026/1744 : on relève les mesures prises, jamais un niveau de connaissance atteint. Ne demander ni test ni score individuel. Demander les supports, les dates et les publics réellement touchés, et vérifier que les instances de décision sont couvertes au même titre que les utilisateurs — un dirigeant qui arbitre sans comprendre relève du même article. C'est la SEULE question cotée au titre de l'art. 4 dans toute la banque : la connaissance du cadre légal applicable est cotée au bloc 1, la formation métier ci-dessous — Source : AI Act art. 4 (version 2026/1744) · NIST AI RMF GOVERN 2.2;single_choice;[{"code":"aucune","label":"Aucune mesure prise à ce jour","score":0},{"code":"diffusion","label":"Diffusion d'une note ou d'un lien sans suivi des destinataires","score":1},{"code":"sensibilisation","label":"Sensibilisation réalisée mais non renouvelée depuis plus de 18 mois","score":3},{"code":"mesures_suivies","label":"Mesures adaptées aux postes, datées de moins de 18 mois, instances de décision comprises","score":5}];faux;3;{"source":"options","red_flag":{"values":["aucune"]}};bloquant;document;;;;;;dirigeant|drh|dsi;tous
Q-B5-002;bloc_5;Quelles compétences l'entreprise estime-t-elle devoir détenir pour ses usages d'IA, et lesquelles lui manquent ?;Faire nommer les compétences usage par usage, puis demander laquelle est détenue en interne, laquelle est achetée et laquelle manque. Une réponse qui ne cite que des compétences techniques est un signal en soi : le juridique, la donnée et le métier en font partie. 1 = aucun examen des compétences nécessaires · 3 = les compétences sont citées de mémoire, sans écrit ni rattachement aux usages engagés · 5 = les compétences requises sont écrites usage par usage, l'écart avec l'existant est identifié et daté de moins de 12 mois — Source : ISO 42001 cl. 7.2 · ISO 42001 A.4.6;scale_1_5;;faux;2;{"map":"identity"};important;document;;;;;;drh|dsi;tous
Q-B5-003;bloc_5;Quelle part des personnes concernées par un usage d'IA a effectivement suivi la formation prévue ?;Demander l'effectif formé ET l'effectif concerné, puis calculer devant l'interlocuteur. Ne pas accepter une estimation à la louche. Le dénominateur est le nombre de personnes qui utilisent réellement l'outil, jamais l'effectif total de l'entreprise. Une formation suivie il y a plus de 24 mois sur un outil remplacé depuis ne compte pas — Source : ISO 42001 cl. 7.2 · NIST AI RMF GOVERN 2.2;percent;;vrai;2;{"bands":[{"max":30,"score":1},{"max":70,"score":3},{"score":5}]};important;releve;;;;;;drh;tous
Q-B5-004;bloc_5;Que peut vous dire un utilisateur sur ce que son outil d'IA fait mal ou ne sait pas faire ?;Poser la question à un utilisateur, jamais à celui qui a déployé l'outil. Une personne qui ne sait citer aucune limite n'a pas été sensibilisée, quelle que soit la formation déclarée par ailleurs. Chercher en particulier si elle sait que l'outil peut produire une réponse fausse avec assurance, et ce qu'elle vérifie avant de reprendre une sortie à son compte. 1 = l'utilisateur ne cite aucune limite et tient les sorties pour exactes · 3 = il cite des limites générales apprises ailleurs, rien qui soit propre à son outil ni à son métier · 5 = il cite au moins un mode d'échec propre à son usage et sait ce qu'il doit vérifier avant de reprendre une sortie — Source : ISO 42001 cl. 7.3;scale_1_5;;faux;2;{"map":"identity"};important;entretien;;;;;;salarie|technicien_operateur;tous
Q-B5-005;bloc_5;La personne chargée de superviser le système a-t-elle le temps, l'information et le mandat d'aller contre lui ?;Trois conditions cumulatives, à vérifier séparément : le temps réellement disponible, l'information nécessaire pour juger, et le mandat écrit d'écarter la proposition sans en référer. Les obligations AI Act art. 26(2) et art. 14 ne sont exigibles pour le haut risque de l'annexe III qu'au 02/12/2027 : un écart est ici une préparation manquante et doit être écrit ainsi. Le point de décision se relève au bloc 2 et l'outillage se cote au bloc 4 — ici on juge la personne. 1 = personne n'est désignée, ou la personne désignée n'a ni le temps ni l'information · 3 = une personne est désignée et compétente mais son mandat d'aller contre le système n'est écrit nulle part · 5 = personne désignée, compétente, mandat écrit, et au moins un cas daté où elle a écarté une proposition du système — Source : AI Act art. 26(2) · AI Act art. 14;scale_1_5;;faux;2;{"map":"identity"};important;entretien;;;;;;resp_metier|dsi;tous
Q-B5-006;bloc_5;Qui travaille sur l'IA dans l'entreprise, à quel taux, et sur quel rôle ?;Relevé non coté. Une ligne par rôle avec les colonnes : rôle tenu, fonction de rattachement, part de temps consacrée, interne ou prestataire, depuis quelle date. Ne jamais nommer les personnes — la fonction suffit, et aucune donnée personnelle ne doit entrer dans la saisie. Un rôle tenu à moins de 10 pour cent d'un temps plein se relève tel quel : c'est souvent l'explication des retards constatés ailleurs dans la mission — Source : ISO 42001 A.4.6;table;;faux;0;;informatif;releve;;;;;;drh|dsi;tous
Q-B5-007;bloc_5;Par quel chemin un salarié peut-il signaler un problème lié à l'IA sans passer par son supérieur direct ?;Vérifier que le chemin existe ET qu'un salarié interrogé sait le nommer : un dispositif connu de la seule direction n'existe pas. Cette question porte sur le canal lui-même. Ce qu'il est advenu du dernier signalement est coté au bloc 1 et ne se recote pas ici — Source : ISO 42001 A.3.3 · NIST AI RMF GOVERN 4.2;single_choice;[{"code":"aucun","label":"Aucun chemin en dehors de la hiérarchie directe","score":0},{"code":"existe_inconnu","label":"Un dispositif existe mais aucun salarié interrogé ne sait le nommer","score":1},{"code":"connu_general","label":"Dispositif connu des salariés mais ne couvrant pas explicitement les sujets d'IA","score":3},{"code":"connu_et_couvrant","label":"Dispositif connu, couvrant les sujets d'IA, et utilisé au moins une fois","score":5}];faux;1;{"source":"options"};important;entretien;;;;;;salarie|drh;tous
Q-B5-008;bloc_5;Quelles règles écrites encadrent l'usage des outils d'IA générative par les salariés ?;Demander le document et sa date de diffusion, puis demander à un salarié s'il en connaît deux règles. Chercher en particulier ce qui est dit des données clients, du code source et des documents internes versés dans un outil grand public. Une charte informatique générale qui ne mentionne pas l'IA se note au deuxième niveau, quelle que soit sa qualité par ailleurs — Source : ISO 42001 A.9.2 · ISO 42001 A.9.3;single_choice;[{"code":"aucune","label":"Aucune règle écrite","score":0},{"code":"charte_muette","label":"Charte informatique existante mais muette sur l'IA","score":1},{"code":"regles_non_diffusees","label":"Règles écrites sur l'IA mais aucun salarié interrogé ne les connaît","score":3},{"code":"regles_connues","label":"Règles écrites, diffusées, et citées de mémoire par les salariés interrogés","score":5}];faux;2;{"source":"options"};important;document;;;;;;drh|dsi|salarie;tous
Q-B5-009;bloc_5;Qu'est-ce qui vérifie aujourd'hui que ces règles d'usage sont suivies ?;Chercher un contrôle réellement exercé et sa dernière date, jamais un principe. Accepter des moyens modestes — un point en réunion d'équipe, une revue des abonnements payés, un relevé des connexions — à condition qu'ils soient datés et qu'il en soit sorti quelque chose. 1 = aucun contrôle, la charte est diffusée puis oubliée · 3 = un contrôle est prévu mais sa dernière exécution date de plus de 12 mois ou n'est pas tracée · 5 = un contrôle a été exercé dans les 12 derniers mois et au moins un écart en est ressorti et a été traité — Source : ISO 42001 A.9.2 (à vérifier);scale_1_5;;faux;2;{"map":"identity"};important;demonstration;;;;;;drh|dsi;tous
Q-B5-010;bloc_5;Que devient une remarque d'utilisateur sur le comportement d'un outil d'IA ?;Prendre une remarque réellement formulée et suivre son parcours jusqu'à son terme. Une boucle qui ne produit jamais de modification n'est pas une boucle. Demander la dernière modification d'un outil décidée à partir d'un retour utilisateur, et à quelle date. Le retour venu de l'extérieur de l'entreprise est coté au bloc 8. 1 = les remarques se perdent, aucun chemin vers ceux qui peuvent agir · 3 = les remarques remontent mais aucune modification n'en est jamais sortie · 5 = au moins une modification des 12 derniers mois est rattachée à un retour utilisateur identifié — Source : NIST AI RMF MEASURE 3.3 · NIST AI RMF GOVERN 5.1;scale_1_5;;faux;1;{"map":"identity"};important;entretien;;;;;;salarie|resp_metier;tous
