code;bloc_code;texte_fr;guidance_fr;answer_type;options;allow_range;poids;scoring;criticality;expected_source;secteurs;services_cibles;niveaux;effectif_min;effectif_max;profils;geo
Q-B9-001;bloc_9;Pouvons-nous relever, système par système, la liste des systèmes d'IA utilisés ou fournis par l'entreprise ?;Relevé, jamais coté. Une ligne par système et ces colonnes : nom et éditeur, rôle AI Act retenu (fournisseur ou déployeur), finalité déclarée, classe de risque retenue, responsable nommé, date de mise en service, date de dernière revue. Reprendre le registre existant s'il y en a un. S'il n'y en a pas, construire la liste en séance et le noter tel quel. — Source : NIST AI RMF GOVERN 1.6;table;;faux;0;;informatif;releve;;;;;;dsi|resp_metier;tous
Q-B9-002;bloc_9;À quelle date le registre des systèmes d'IA a-t-il été mis à jour pour la dernière fois ?;Demander à VOIR la date dans le fichier ou dans l'outil, pas à l'estimer. Si le registre a été produit pour l'audit, saisir la date du jour et l'écrire dans le rapport. Non cotée : c'est la question suivante qui cote. — Source : NIST AI RMF GOVERN 1.6;date;;faux;0;;informatif;document;;;;;;dsi;tous
Q-B9-003;bloc_9;Quel est le niveau de tenue du registre des systèmes d'IA ?;Le discriminant est l'usage réel du registre, jamais son existence. Demander quelle décision il a servi à prendre et à quelle date. 1 = aucun registre, on reconstitue la liste en interrogeant les équipes · 3 = un registre existe mais il est incomplet, sans responsable nommé par système, ou non mis à jour depuis plus de 12 mois · 5 = registre à jour, un responsable nommé par système, et il a servi au moins une fois dans les 12 derniers mois à une décision tracée (achat, classement, arrêt d'un système) — Source : NIST AI RMF GOVERN 1.6;scale_1_5;;faux;3;{"map":"identity"};important;document;;;;;;dirigeant|dsi;tous
Q-B9-004;bloc_9;Quelle part des systèmes d'IA inventoriés porte par écrit le rôle de l'entreprise au sens de l'AI Act ?;Le rôle se qualifie système par système : une même entreprise est le plus souvent déployeur d'outils du marché et peut être fournisseur d'un seul système qu'elle diffuse sous sa marque. Demander l'écrit, pas l'avis exprimé en séance. Compter les systèmes qualifiés sur le total relevé en Q-B9-001. — Source : AI Act art. 3(3) et art. 3(4);percent;;vrai;3;{"bands":[{"max":50,"score":1},{"max":90,"score":3},{"score":5}]};important;document;;;;;;dirigeant|dsi;tous
Q-B9-005;bloc_9;Comment l'entreprise vérifie-t-elle qu'elle n'est pas devenue fournisseur d'un système qu'elle exploite ?;Question posée au déployeur. Trois cas font basculer un déployeur en fournisseur : apposer son nom ou sa marque sur le système, le modifier substantiellement, ou en changer la finalité. C'est le piège le plus courant chez qui affine un modèle du marché. Les obligations qui découlent de la bascule pour un système à haut risque ne deviennent exigibles qu'au 02/12/2027 : un écart ici est un point de feuille de route, pas un manquement. — Source : AI Act art. 25(1);single_choice;[{"code":"jamais","label":"Aucun examen de ce point","score":0},{"code":"ponctuel","label":"Examen fait une fois, sans reprise depuis","score":3},{"code":"systematique","label":"Examen tracé à chaque mise en service ou modification","score":5}];faux;2;{"source":"options"};important;entretien;;;;;;dsi|resp_metier;tous
Q-B9-006;bloc_9;Quelle part des systèmes d'IA inventoriés porte un classement de risque écrit et daté ?;Quatre classes possibles : interdit, haut risque, soumis à obligation de transparence, minimal. Le classement commande toutes les obligations qui suivent. Demander qui l'a établi et quand. Le classement en haut risque n'emporte d'obligations exigibles qu'au 02/12/2027 pour l'annexe III et au 02/08/2028 pour l'annexe I — le poser aujourd'hui reste la seule façon de savoir ce qui attend l'entreprise. — Source : AI Act art. 5, art. 6 et art. 50;percent;;vrai;3;{"bands":[{"max":50,"score":1},{"max":90,"score":3},{"score":5}]};important;document;;;;;;dsi;tous
Q-B9-007;bloc_9;Un examen a-t-il été conduit pour vérifier qu'aucun système utilisé ne relève des pratiques interdites ?;Obligation applicable depuis le 02/02/2025, au fournisseur comme au déployeur. Demander l'écrit et sa date. Deux interdictions ont été ajoutées par le règlement omnibus et deviennent applicables le 02/12/2026 (contenus intimes non consentis, matériel pédocriminel) : vérifier que l'examen les couvre ou qu'une reprise est programmée. Une réponse orale sans trace se note non. — Source : AI Act art. 5 · règlement (UE) 2026/1744 (à vérifier);yes_no;;faux;3;{"map":{"oui":5,"non":0},"red_flag":{"values":["non"]}};bloquant;document;;;;;;dirigeant|dsi;tous
Q-B9-008;bloc_9;Les personnes qui échangent avec un système d'IA de l'entreprise sont-elles informées qu'elles parlent à une machine ?;Obligation de transparence applicable depuis le 02/08/2026. Elle pèse sur le fournisseur du système, donc sur l'entreprise dès qu'elle diffuse un agent conversationnel sous sa marque, même bâti sur un outil du marché. L'information n'est pas due lorsque la situation est manifeste pour une personne normalement avisée. À constater sur l'outil en fonctionnement, pas sur une capture d'écran. — Source : AI Act art. 50(1);single_choice;[{"code":"aucune","label":"Aucune information","score":0},{"code":"partielle","label":"Information sur une partie des points de contact","score":3},{"code":"systematique","label":"Information dès la première interaction, sur tous les points de contact","score":5}];faux;3;{"source":"options","red_flag":{"values":["aucune"]}};bloquant;observation;;;;;;dsi|resp_metier;tous
Q-B9-009;bloc_9;Quel est le niveau de clarté et d'accessibilité des informations de transparence données aux personnes ?;On juge le moment, la lisibilité et l'accessibilité de l'information, pas sa seule présence. Applicable depuis le 02/08/2026, au fournisseur comme au déployeur. 1 = information absente, ou noyée dans des conditions générales · 3 = information présente mais donnée après le premier échange, ou rédigée dans un vocabulaire que le public visé ne comprend pas · 5 = information donnée dès la première interaction, distinguable du reste de la page et accessible aux personnes en situation de handicap — Source : AI Act art. 50(5);scale_1_5;;faux;2;{"map":"identity"};important;observation;;;;;;dsi|resp_metier;tous
Q-B9-010;bloc_9;Une décision produisant des effets sur une personne peut-elle être prise sans intervention humaine ?;Régime RGPD, applicable aujourd'hui et indépendant du calendrier de l'AI Act. Question posée au déployeur. Prendre un cas concret et remonter la chaîne : qui signe, qui peut aller contre la proposition de l'outil, et l'a-t-il déjà fait au moins une fois dans les 12 derniers mois. Une validation humaine qui n'a jamais rien refusé n'est pas une intervention humaine. — Source : RGPD art. 22;single_choice;[{"code":"oui_sans_garantie","label":"Oui, sans base légale ni garantie identifiée","score":0},{"code":"oui_avec_garanties","label":"Oui, avec base légale et garanties documentées","score":3},{"code":"non","label":"Non, une personne compétente tranche et peut aller contre la proposition","score":5}];faux;3;{"source":"options","red_flag":{"values":["oui_sans_garantie"]}};bloquant;entretien;;;;;;dirigeant|resp_metier;tous
